Fund,N,AnnReturn,CAGR,Flag,ETL_1,ETL_5,mu,omega,alpha1,gamma1,beta1,skew,shape
FIEUX,9720,0.0776443552564773,0.0618129059378516,0,-0.488394796361182,-0.345428362669802,0.000390994868364778,-0.20003949908734,-0.0666931009548708,0.167061900752032,0.978464677540765,-0.193095874001527,2.25063954831985
FIFNX,1555,0.143103519200623,0.121913379355562,0,-0.361234169571053,-0.260156091583572,0.000387276699406906,-0.393434936658196,-0.166039959774452,0.188263926015637,0.954707985783607,-0.426706274111667,3.30356050799698
FIGFX,4399,0.0520752714956752,0.032422103980388,0,-0.528261892990139,-0.370190614250436,0.000220918316692148,-0.197408017077207,-0.113007467323804,0.168854512940592,0.97871694543272,-0.247098403472878,2.36791491702331
FIGRX,9658,0.0721956155567009,0.0597820325005949,0,-0.483120308187741,-0.338722077594593,0.000305706584981674,-0.192473562964731,-0.0693631139417338,0.17414726978776,0.979834591033182,-0.192824031653541,1.87708653483436
FIHFX,3916,0.0830382351659602,0.0767134502884306,0,-0.282936749734249,-0.1886150352511,0.000236874745528977,-0.30955759949893,-0.151553049847764,0.153980135278893,0.968799227005116,-0.274933638256797,2.20460757374123
FIKFX,3916,0.0353799149437677,0.0351995340003144,0,-0.124456006848619,-0.076833547512903,0.000140986867785839,-0.150156068711876,-0.0741774830665686,0.132684388332032,0.987803342114746,-0.210092073550742,2.30881242185172
FIMIX,9935,0.0458857454087747,0.0462391925289702,0,-0.22992488166704,-0.153364508661352,0.000199209022429508,-0.239562589359177,-0.0598039950764575,0.22298396792448,0.980908730687256,0.202857542361753,0.285500442188006
FIMVX,1455,0.0750430774260258,0.0489564850997826,0,-0.668272652267693,-0.5040167022576,6.1467848450978e-05,-0.222397599858434,-0.129374824753576,0.200857840669031,0.975083435061599,-0.265217072906539,3.48901827223487
FIOFX,3916,0.0881124648448099,0.0804256762170632,0,-0.304082782412247,-0.201960027570614,0.000254047393168856,-0.299506842804299,-0.157216766071951,0.162554167018418,0.969398186371795,-0.276481121420522,2.14244196483431
FIPDX,3261,0.0216947139868184,0.0203414525258796,0,-0.134710444894778,-0.0905715638336053,0.000104499666758968,-0.150209075373472,-0.0341567101693961,0.100191489256386,0.987013672775071,-0.0342702036309518,1.99808655128771
