Date,SP500TR
2013-06-20,2817.4399414062
2013-06-19,2889.25
2013-06-18,2929.8100585938
2013-06-17,2907.1201171875
2013-06-14,2885.2399902344
2013-06-13,2902.3200683594
2013-06-12,2859.6201171875
2013-06-11,2883.0700683594
2013-06-10,2912.6298828125
2013-06-07,2913.4599609375
2013-06-06,2876.5
2013-06-05,2851.8898925781
2013-06-04,2891.0200195312
2013-06-03,2906.9099121094
2013-05-31,2889.4599609375
2013-05-30,2931.3898925781
2013-05-29,2920.1799316406
2013-05-28,2940.4499511719
2013-05-24,2921.8798828125
2013-05-23,2923.4299316406
2013-05-22,2931.580078125
2013-05-21,2955.6899414062
2013-05-20,2950.5300292969
2013-05-17,2952.5600585938
2013-05-16,2922.3999023438
2013-05-15,2936.9799804688
2013-05-14,2921.1201171875
2013-05-13,2891.169921875
2013-05-10,2890.7700195312
2013-05-09,2878.3000488281
2013-05-08,2887.6101074219
2013-05-07,2874.4599609375
2013-05-06,2859.3400878906
2013-05-03,2853.8798828125
2013-05-02,2823.8200683594
2013-05-01,2797.2800292969
2013-04-30,2823.419921875
2013-04-29,2816.3898925781
2013-04-26,2796.2399902344
2013-04-25,2801.2800292969
2013-04-24,2789.9299316406
2013-04-23,2789.5600585938
2013-04-22,2760.8000488281
2013-04-19,2747.9399414062
2013-04-18,2723.7199707031
2013-04-17,2742.0100097656
2013-04-16,2781.8601074219
2013-04-15,2742.6298828125
2013-04-12,2807.1000976562
2013-04-11,2815.0200195312
2013-04-10,2804.8100585938
2013-04-09,2770.8400878906
2013-04-08,2761.0500488281
2013-04-05,2742.8601074219
2013-04-04,2754.669921875
2013-04-03,2743.3798828125
2013-04-02,2772.1101074219
2013-04-01,2757.830078125
2013-03-28,2770.0500488281
2013-03-27,2758.8500976562
2013-03-26,2760.3200683594
2013-03-25,2738.080078125
2013-03-22,2747.25
2013-03-21,2727.6899414062
2013-03-20,2750.419921875
2013-03-19,2732.0900878906
2013-03-18,2738.6799316406
2013-03-15,2753.8200683594
2013-03-14,2758.3000488281
2013-03-13,2742.8701171875
2013-03-12,2738.3500976562
2013-03-11,2744.8100585938
2013-03-08,2735.669921875
2013-03-07,2723.2700195312
2013-03-06,2718.0700683594
2013-03-05,2714.3500976562
2013-03-04,2688.5400390625
2013-03-01,2676.1799316406
2013-02-28,2669.919921875
2013-02-27,2672.1101074219
2013-02-26,2637.8898925781
2013-02-25,2621.4599609375
2013-02-22,2670.3601074219
2013-02-21,2646.75
2013-02-20,2662.9399414062
2013-02-19,2696.2600097656
2013-02-15,2676.2099609375
2013-02-14,2678.7700195312
2013-02-13,2676.6000976562
2013-02-12,2673.7700195312
2013-02-11,2669.3701171875
2013-02-08,2670.8500976562
2013-02-07,2655.8400878906
2013-02-06,2659.5500488281
2013-02-05,2657.7600097656
2013-02-04,2630.0500488281
2013-02-01,2660.6999511719
2013-01-31,2634.1599121094
2013-01-30,2640.7700195312
2013-01-29,2650.4299316406
2013-01-28,2636.830078125
